앱 확장 소재,앱 확장 소재 유형,캠페인,광고그룹,일,전환,통화 코드,비용,노출수,클릭수,Revenue,유형,사이즈,투입일,시기,USP,Concept,언어,파일명,소재명,링크,hooking_strategy,audio_elements_bgm,audio_elements_sfx_emphasized,audio_elements_narration,audio_elements_cv,text_analysis_extracted_copy,text_analysis_core_usp,title_specific_system,title_specific_mechanic,title_specific_faction_race,title_specific_identified_character,title_specific_theme,title_specific_special_note,gameplay,visual_technique,environment,emotion,character_object,art_style,marketer_insight
251104_BNR_A-Character-Adventure01A-DA_S_1200x1200_EN.jpg;https://tpc.googlesyndication.com/simgad/13260462268912176542,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,0,KRW,1976,12,2,0,BNR,정방형,2025-11-04,A,Character,Adventure01A,EN,251104_BNR_A-Character-Adventure01A-DA_S_1200x1200_EN,A-Character-Adventure01A-DA,https://tpc.googlesyndication.com/simgad/13260462268912176542,"비주얼 임팩트, 캐릭터/유닛 외형",,,,,PEPP HEROES,"아트 퀄리티, 캐릭터, 수집형RPG","5인 분대 전투, 수집형 RPG",,"마그 탐험대, 고블린",카르벨(Karbel),렐릭 탐험 어드벤처,2.5D 입체 월드 강조,"전투 및 액션, 탐험 및 발견",텍스트 오버레이,자연/야외 미학,"참여와 임장감, 수집욕/소유욕","인간형 영웅, SD/치비 캐릭터, 거대 보스","2.5D 입체 그래픽, 2D 일러스트",독창적인 2.5D 비주얼과 코어한 전투 재미로 RPG 유저 공략. 북미·글로벌 시장의 높은 CTR을 기반으로 SSR 소환 연출을 활용해 CVR 최적화.
251104_BNR_A-Character-Adventure01A-DA_V_1200x1500_EN.jpg;https://tpc.googlesyndication.com/simgad/11060997048456614631,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,0,KRW,0,13,0,0,BNR,세로형,2025-11-04,A,Character,Adventure01A,EN,251104_BNR_A-Character-Adventure01A-DA_V_1200x1500_EN,A-Character-Adventure01A-DA,https://tpc.googlesyndication.com/simgad/11060997048456614631,"비주얼 임팩트, 캐릭터/유닛 외형",,,,,PEPP HEROES,"아트 퀄리티, 캐릭터, 수집형RPG","5인 분대 전투, 수집형 RPG",,"마그 탐험대, 고블린",카르벨(Karbel),렐릭 탐험 어드벤처,2.5D 입체 월드 강조,"전투 및 액션, 탐험 및 발견",텍스트 오버레이,자연/야외 미학,"수집욕/소유욕, 만족과 성취감","인간형 영웅, SD/치비 캐릭터, 거대 보스","2.5D 입체 그래픽, 2D 일러스트",캐릭터 케미와 조합 시각화로 SSR 수집 재미 자극. 속성 상성 강조 소재로 고관여 유저 공략 및 확장.
260406_BNR_A-Character-Adventure02A-DA_L_1200x628_EN.jpg;https://tpc.googlesyndication.com/simgad/7571534943945847205,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,0,KRW,1422,72,2,0,BNR,가로형,2026-04-06,A,Character,Adventure02A,EN,260406_BNR_A-Character-Adventure02A-DA_L_1200x628_EN,A-Character-Adventure02A-DA,https://tpc.googlesyndication.com/simgad/7571534943945847205,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,"PEPP HEROES: RELIC QUEST, PRE-REGISTER NOW","아트 퀄리티, 릴리즈 예고, 캐릭터, 수집형RPG",용병 모집(Gacha),렐릭 퀘스트,마그 탐험대,샤일린(Shylin),렐릭 탐험 어드벤처,,수집 및 도감,텍스트 오버레이,자연/야외 미학,"수집욕/소유욕, 참여와 임장감",,"2.5D 입체 그래픽, 2D 일러스트",샤일린 비주얼을 활용해 2.5D 미학적 만족감을 강조하고 사전예약을 유도함. 고관여 유저 대상 높은 CTR이 기대되며 캐릭터 시너지 소재로 확장 계획임.
260406_BNR_A-Character-Adventure02A-DA_S_1200x1200_EN.jpg;https://tpc.googlesyndication.com/simgad/11186665980784424187,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,0,KRW,23,12,0,0,BNR,정방형,2026-04-06,A,Character,Adventure02A,EN,260406_BNR_A-Character-Adventure02A-DA_S_1200x1200_EN,A-Character-Adventure02A-DA,https://tpc.googlesyndication.com/simgad/11186665980784424187,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,"PEPP HEROES: RELIC QUEST, PRE-REGISTER NOW","아트 퀄리티, 릴리즈 예고, 캐릭터, 수집형RPG",용병 모집(Gacha),렐릭 퀘스트,마그 탐험대,샤일린(Shylin),렐릭 탐험 어드벤처,,수집 및 도감,텍스트 오버레이,자연/야외 미학,"수집욕/소유욕, 참여와 임장감",,"2.5D 입체 그래픽, 2D 일러스트",정사각형 포맷 내 캐릭터 밀집도를 높여 시선 집중 및 수집 욕구 자극. 인스타그램 등 매체 최적화 및 보상 정보 결합으로 고효율 기대.
260406_BNR_A-Character-Adventure02A-DA_V_1200x1500_EN.jpg;https://tpc.googlesyndication.com/simgad/6053276405209869053,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,0,KRW,193,7,0,0,BNR,세로형,2026-04-06,A,Character,Adventure02A,EN,260406_BNR_A-Character-Adventure02A-DA_V_1200x1500_EN,A-Character-Adventure02A-DA,https://tpc.googlesyndication.com/simgad/6053276405209869053,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,"PEPP HEROES: RELIC QUEST, PRE-REGISTER NOW","아트 퀄리티, 릴리즈 예고, 캐릭터, 수집형RPG",용병 모집(Gacha),렐릭 퀘스트,마그 탐험대,샤일린(Shylin),렐릭 탐험 어드벤처,,수집 및 도감,텍스트 오버레이,자연/야외 미학,"수집욕/소유욕, 참여와 임장감",,"2.5D 입체 그래픽, 2D 일러스트",세로형 피드 최적화와 2.5D 배경으로 어드벤처 컨셉 전달. 영웅 캐릭터를 강조해 탐험 욕구를 자극하며 SNS 뉴스피드 내 높은 CTR 성과 기대함.
260406_BNR_A-Character-Keyart01A-DA_L_1200x628_EN.jpg;https://tpc.googlesyndication.com/simgad/7229897833742420635,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,0,KRW,2271,62,3,0,BNR,가로형,2026-04-06,A,Character,Keyart01A,EN,260406_BNR_A-Character-Keyart01A-DA_L_1200x628_EN,A-Character-Keyart01A-DA,https://tpc.googlesyndication.com/simgad/7229897833742420635,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,PEPP HEROES,"아트 퀄리티, 수집형RPG",수집형 RPG,분대 조합,마그 탐험대,"샤일린(Shylin), 메인 플레이어(PC)",렐릭 탐험 어드벤처,,수집 및 도감,텍스트 오버레이,자연/야외 미학,수집욕/소유욕,인간형 영웅,"2.5D 입체 그래픽, 2D 일러스트","핵심 캐릭터 앙상블로 2.5D 비주얼과 볼륨감을 강조합니다. 타겟 유저의 수집 욕구를 자극하여 높은 CTR을 유도하고, 보상 정보 추가로 전환율을 보완합니다."
260406_BNR_A-Character-Keyart01A-DA_S_1200x1200_EN.jpg;https://tpc.googlesyndication.com/simgad/3824621935165149692,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,0,KRW,45,22,1,0,BNR,정방형,2026-04-06,A,Character,Keyart01A,EN,260406_BNR_A-Character-Keyart01A-DA_S_1200x1200_EN,A-Character-Keyart01A-DA,https://tpc.googlesyndication.com/simgad/3824621935165149692,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,PEPP HEROES,"아트 퀄리티, 수집형RPG",수집형 RPG,분대 조합,마그 탐험대,"샤일린(Shylin), 메인 플레이어(PC)",렐릭 탐험 어드벤처,,수집 및 도감,텍스트 오버레이,자연/야외 미학,수집욕/소유욕,인간형 영웅,2.5D 입체 그래픽,정방형 대칭 구도로 피드 주목도 확보. 개성 있는 캐릭터로 유저 팬심 자극. 인스타그램 내 캐릭터별 카드 뉴스 소재로 확장 및 성과 기대.
260406_BNR_A-Character-Keyart01A-DA_V_1200x1500_EN.jpg;https://tpc.googlesyndication.com/simgad/7088308585232701242,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,0,KRW,558,13,2,0,BNR,세로형,2026-04-06,A,Character,Keyart01A,EN,260406_BNR_A-Character-Keyart01A-DA_V_1200x1500_EN,A-Character-Keyart01A-DA,https://tpc.googlesyndication.com/simgad/7088308585232701242,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,PEPP HEROES,"아트 퀄리티, 수집형RPG",수집형 RPG,분대 조합,마그 탐험대,"샤일린(Shylin), 메인 플레이어(PC)",렐릭 탐험 어드벤처,,수집 및 도감,텍스트 오버레이,자연/야외 미학,수집욕/소유욕,인간형 영웅,2.5D 입체 그래픽,4:5 비율로 브랜드 각인 극대화 및 정밀한 캐릭터 묘사로 수집 욕구 자극. 중고관여 유저 대상 안정적 CVR 기대 및 보상 강조를 통한 전환 유도 가능.
260406_BNR_A-Character-Keyart02A-DA_L_1200x628_EN.jpg;https://tpc.googlesyndication.com/simgad/12671710964202932656,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,1,KRW,4865,62,8,0,BNR,가로형,2026-04-06,A,Character,Keyart02A,EN,260406_BNR_A-Character-Keyart02A-DA_L_1200x628_EN,A-Character-Keyart02A-DA,https://tpc.googlesyndication.com/simgad/12671710964202932656,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,PEPP Heroes,"아트 퀄리티, 캐릭터",수집형 RPG,8인 실시간 전투,마그 탐험대,"플레이어 캐릭터(PC), 주요 영웅 6종",히어로 수집 육성,,수집 및 도감,텍스트 오버레이,심플/클린 UI,"수집욕/소유욕, 참여와 임장감","인간형 영웅, 군단/대규모 유닛","2.5D 입체 그래픽, 2D 일러스트",다양한 영웅 라인업과 2.5D 그래픽으로 수집 재미 소구. 브랜드 인지 및 CTR 제고 후 보상 텍스트를 결합한 소재로 전환율 극대화 기대.
260406_BNR_A-Character-Keyart02A-DA_S_1200x1200_EN.jpg;https://tpc.googlesyndication.com/simgad/15775815948051445986,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,0,KRW,1230,15,2,0,BNR,정방형,2026-04-06,A,Character,Keyart02A,EN,260406_BNR_A-Character-Keyart02A-DA_S_1200x1200_EN,A-Character-Keyart02A-DA,https://tpc.googlesyndication.com/simgad/15775815948051445986,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,PEPP Heroes,"아트 퀄리티, 캐릭터",수집형 RPG,8인 실시간 전투,마그 탐험대,"플레이어 캐릭터(PC), 주요 영웅 6종",히어로 수집 육성,,수집 및 도감,텍스트 오버레이,심플/클린 UI,"수집욕/소유욕, 참여와 임장감","인간형 영웅, 군단/대규모 유닛","2.5D 입체 그래픽, 2D 일러스트",1:1 비율 내 캐릭터 밀도를 높여 수집 볼륨을 강조합니다. 개성 있는 디자인으로 호감을 유발하며 피드 광고 효율 및 전략적 확장성이 기대됩니다.
260406_BNR_A-Character-Keyart02A-DA_V_1200x1500_EN.jpg;https://tpc.googlesyndication.com/simgad/18162838063878595171,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,0,KRW,373,7,1,0,BNR,세로형,2026-04-06,A,Character,Keyart02A,EN,260406_BNR_A-Character-Keyart02A-DA_V_1200x1500_EN,A-Character-Keyart02A-DA,https://tpc.googlesyndication.com/simgad/18162838063878595171,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,PEPP Heroes,"아트 퀄리티, 캐릭터",수집형 RPG,8인 실시간 전투,마그 탐험대,"플레이어 캐릭터(PC), 주요 영웅 6종",히어로 수집 육성,,수집 및 도감,텍스트 오버레이,심플/클린 UI,"수집욕/소유욕, 참여와 임장감","인간형 영웅, 군단/대규모 유닛","2.5D 입체 그래픽, 2D 일러스트",영웅 실루엣과 로고 균형을 통한 시각적 전달력 강화로 넓은 세계관 소구. 페이스북 피드 최적화 및 수치 기반 카피로 정보 전달력 극대화 제안.
260406_BNR_A-Character-Life01A-DA_L_1200x628_EN.jpg;https://tpc.googlesyndication.com/simgad/4842260928888903016,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,1,KRW,3451,92,5,0,BNR,가로형,2026-04-06,A,Character,Life01A,EN,260406_BNR_A-Character-Life01A-DA_L_1200x628_EN,A-Character-Life01A-DA,https://tpc.googlesyndication.com/simgad/4842260928888903016,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,"PEPP HEROES, PLAY FOR FREE","아트 퀄리티, 전략성, 수집형RPG","8인 실시간 전투, 8종 직업 및 4종 클래스 체계","렐릭 퀘스트, 8인 실시간 전투",마그 탐험대,카르벨(Karbel),"렐릭 탐험 어드벤처, 히어로 수집 육성",,"수집 및 도감, 탐험 및 발견","텍스트 오버레이, 심플/클린 UI",자연/야외 미학,"휴식과 힐링, 수집욕/소유욕","SD/치비 캐릭터, 인간형 영웅","2.5D 입체 그래픽, 2D 일러스트",2.5D 월드의 공간감을 강조하여 어드벤처 유저를 타겟팅합니다. 리마케팅에 효과적이며 수집 문구 추가로 정보 전달력 보강을 추천합니다.
260406_BNR_A-Character-Life01A-DA_S_1200x1200_EN.jpg;https://tpc.googlesyndication.com/simgad/1365671312776743899,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,1,KRW,1376,13,2,0,BNR,정방형,2026-04-06,A,Character,Life01A,EN,260406_BNR_A-Character-Life01A-DA_S_1200x1200_EN,A-Character-Life01A-DA,https://tpc.googlesyndication.com/simgad/1365671312776743899,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,"PEPP HEROES, PLAY FOR FREE","아트 퀄리티, 캐릭터, 수집형RPG","8인 실시간 전투, 8종 직업 및 4종 클래스 체계","렐릭 퀘스트, 8인 실시간 전투",마그 탐험대,카르벨(Karbel),"렐릭 탐험 어드벤처, 히어로 수집 육성",,"수집 및 도감, 탐험 및 발견","텍스트 오버레이, 심플/클린 UI",자연/야외 미학,"휴식과 힐링, 수집욕/소유욕","SD/치비 캐릭터, 인간형 영웅","2.5D 입체 그래픽, 2D 일러스트","고퀄리티 일러스트와 실제 화면을 합성해 신뢰감을 조성함. 캐주얼 유저의 힐링 욕구를 공략하여 높은 클릭률을 유도하고, 사전예약 보상 강조로 전환율 극대화가 필요함."
260406_BNR_A-Character-Life01A-DA_V_1200x1500_EN.jpg;https://tpc.googlesyndication.com/simgad/4106688461642527637,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,0,KRW,1020,14,2,0,BNR,세로형,2026-04-06,A,Character,Life01A,EN,260406_BNR_A-Character-Life01A-DA_V_1200x1500_EN,A-Character-Life01A-DA,https://tpc.googlesyndication.com/simgad/4106688461642527637,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,"PEPP HEROES, PLAY FOR FREE","아트 퀄리티, 캐릭터, 수집형RPG","8인 실시간 전투, 8종 직업 및 4종 클래스 체계","렐릭 퀘스트, 8인 실시간 전투",마그 탐험대,카르벨(Karbel),"렐릭 탐험 어드벤처, 히어로 수집 육성",,"수집 및 도감, 탐험 및 발견","텍스트 오버레이, 심플/클린 UI",자연/야외 미학,"휴식과 힐링, 수집욕/소유욕","SD/치비 캐릭터, 인간형 영웅","2.5D 입체 그래픽, 2D 일러스트",중간 비율로 캐릭터 디테일을 강조하여 수집 욕구를 자극합니다. 보스 대치 장면을 대조 삽입하여 도전 욕구를 자극하고 효율을 개선합니다.
260406_BNR_A-Charater-Collection01A-DA_S_1200x1200_EN.jpg;https://tpc.googlesyndication.com/simgad/2322926171558263908,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,0,KRW,321,19,2,0,BNR,정방형,2026-04-06,A,Charater,Collection01A,EN,260406_BNR_A-Charater-Collection01A-DA_S_1200x1200_EN,A-Charater-Collection01A-DA,https://tpc.googlesyndication.com/simgad/2322926171558263908,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,"Get Pepp'd, com2us, PEPP HEROES","아트 퀄리티, 캐릭터, 수집형RPG",수집형 RPG,용병 모집(Gacha),마그 탐험대,다수의 SD 영웅,히어로 수집 육성,,수집 및 도감,텍스트 오버레이,심플/클린 UI,수집욕/소유욕,SD/치비 캐릭터,2.5D 입체 그래픽,정방형 구도로 캐릭터 밀도와 시각적 풍성함 극대화. SNS 주목도 확보 및 캐릭터 등급 변주를 통한 전환율 개선 기대.
260406_BNR_A-Charater-Collection01A-DA_V_1200x1500_EN.jpg;https://tpc.googlesyndication.com/simgad/5699446522298240409,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,0,KRW,642,14,2,0,BNR,세로형,2026-04-06,A,Charater,Collection01A,EN,260406_BNR_A-Charater-Collection01A-DA_V_1200x1500_EN,A-Charater-Collection01A-DA,https://tpc.googlesyndication.com/simgad/5699446522298240409,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,"Get Pepp'd, com2us, PEPP HEROES","아트 퀄리티, 캐릭터, 수집형RPG",수집형 RPG,용병 모집(Gacha),마그 탐험대,다수의 SD 영웅,히어로 수집 육성,,수집 및 도감,텍스트 오버레이,심플/클린 UI,수집욕/소유욕,SD/치비 캐릭터,2.5D 입체 그래픽,세로 뷰로 50종 영웅 노출을 극대화하여 전략적 흥미 유발. 무료 소환권 혜택 강조로 전환율 제고 및 안정적 성과 기대.
260406_BNR_A-Mob-Adventure01A-DA_L_1200x628_EN.jpg;https://tpc.googlesyndication.com/simgad/16600105301133976800,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,0,KRW,2023,69,6,0,BNR,가로형,2026-04-06,A,Mob,Adventure01A,EN,260406_BNR_A-Mob-Adventure01A-DA_L_1200x628_EN,A-Mob-Adventure01A-DA,https://tpc.googlesyndication.com/simgad/16600105301133976800,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,"Peppy & Ready to Fight, PLAY FOR FREE","아트 퀄리티, 캐릭터, 수집형RPG",8인 실시간 전투,8종 직업 및 4종 클래스 체계,고블린,,렐릭 탐험 어드벤처,몬스터 군단 중심의 구도,"전투 및 액션, 탐험 및 발견",텍스트 오버레이,자연/야외 미학,"참여와 임장감, 수집욕/소유욕","SD/치비 캐릭터, 군단/대규모 유닛","2.5D 입체 그래픽, 2D 일러스트",몬스터 군단과 2.5D 아트 중심의 모험 소구. 독특한 크리처 디자인으로 고관여 유저의 CTR 유도 및 전략적 시너지 강조.
260406_BNR_A-Mob-Adventure01A-DA_S_1200x1200_EN.jpg;https://tpc.googlesyndication.com/simgad/9569657006008026943,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,0,KRW,2055,25,3,0,BNR,정방형,2026-04-06,A,Mob,Adventure01A,EN,260406_BNR_A-Mob-Adventure01A-DA_S_1200x1200_EN,A-Mob-Adventure01A-DA,https://tpc.googlesyndication.com/simgad/9569657006008026943,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,"Peppy & Ready to Fight, PLAY FOR FREE","아트 퀄리티, 캐릭터, 수집형RPG",8인 실시간 전투,8종 직업 및 4종 클래스 체계,고블린,,렐릭 탐험 어드벤처,몬스터 군단 중심의 구도,"전투 및 액션, 탐험 및 발견",텍스트 오버레이,자연/야외 미학,"참여와 임장감, 수집욕/소유욕","SD/치비 캐릭터, 군단/대규모 유닛","2.5D 입체 그래픽, 2D 일러스트","1:1 비율로 SD 캐릭터의 디테일과 2.5D 비주얼을 강조함. 높은 아트 퀄리티로 유저 시선을 유도하며, 시간 및 날씨 변화를 활용한 소재 확장을 제안함."
260406_BNR_A-Mob-Adventure01A-DA_V_1200x1500_EN.jpg;https://tpc.googlesyndication.com/simgad/16351660437053448831,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,0,KRW,839,9,1,0,BNR,세로형,2026-04-06,A,Mob,Adventure01A,EN,260406_BNR_A-Mob-Adventure01A-DA_V_1200x1500_EN,A-Mob-Adventure01A-DA,https://tpc.googlesyndication.com/simgad/16351660437053448831,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,"Peppy & Ready to Fight, PLAY FOR FREE","아트 퀄리티, 캐릭터, 수집형RPG",8인 실시간 전투,8종 직업 및 4종 클래스 체계,고블린,,렐릭 탐험 어드벤처,몬스터 군단 중심의 구도,"전투 및 액션, 탐험 및 발견",텍스트 오버레이,자연/야외 미학,"참여와 임장감, 수집욕/소유욕","SD/치비 캐릭터, 군단/대규모 유닛","2.5D 입체 그래픽, 2D 일러스트",플랫폼별 규격 대응 및 캐릭터 위계 유지로 브랜드 각인. 모험의 설렘을 유발하는 구도로 범용적 성과 기대. 사전예약 보상 아이콘 오버레이로 보상 심리 자극 및 효율 극대화.
260406_VID_A-Character-Collection01A-UA_S_1080x1080_EN;https://www.youtube.com/watch?v=nGeFKwFWRpM,YouTube 동영상,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,0,KRW,2498,81,6,0,VID,정방형,2026-04-06,A,Character,Collection01A,EN;https://www,260406_VID_A-Character-Collection01A-UA_S_1080x1080_EN,A-Character-Collection01A-UA,https://www.youtube.com/watch?v=nGeFKwFWRpM,"질문/선택형, 캐릭터/유닛 외형",경쾌함,TRUE,,없음,"CHOOSE A HERO, VINESSA, BERNETA, SOPHIA","캐릭터, 수집형RPG, 전략성",용병 모집(Gacha),DIY 픽업 시스템,마그 탐험대,"비네사, 소피아, 베르네타",히어로 수집 육성,캐릭터 선택 UI 강조,수집 및 도감,"텍스트 오버레이, 분할 화면",심플/클린 UI,수집욕/소유욕,"SD/치비 캐릭터, 인간형 영웅",2D 일러스트,능동적 참여를 유도하는 카피로 선택의 재미를 강조하여 거부감 없는 유입 도모. 높은 클릭률 기반의 초기 유저 획득 캠페인에 최적화됨.
