앱 확장 소재,앱 확장 소재 유형,캠페인,광고그룹,일,전환,통화 코드,비용,노출수,클릭수,Revenue,유형,사이즈,투입일,시기,USP,Concept,언어,파일명,소재명,링크,hooking_strategy,audio_elements_bgm,audio_elements_sfx_emphasized,audio_elements_narration,audio_elements_cv,text_analysis_extracted_copy,text_analysis_core_usp,title_specific_system,title_specific_mechanic,title_specific_faction_race,title_specific_identified_character,title_specific_theme,title_specific_special_note,gameplay,visual_technique,environment,emotion,character_object,art_style,marketer_insight
251104_BNR_A-Character-Adventure01A-DA_V_1200x1500_EN.jpg;https://tpc.googlesyndication.com/simgad/11060997048456614631,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,1,KRW,184,6,1,0,BNR,세로형,2025-11-04,A,Character,Adventure01A,EN,251104_BNR_A-Character-Adventure01A-DA_V_1200x1500_EN,A-Character-Adventure01A-DA,https://tpc.googlesyndication.com/simgad/11060997048456614631,"비주얼 임팩트, 캐릭터/유닛 외형",,,,,PEPP HEROES,"아트 퀄리티, 캐릭터, 수집형RPG","5인 분대 전투, 수집형 RPG",,"마그 탐험대, 고블린",카르벨(Karbel),렐릭 탐험 어드벤처,2.5D 입체 월드 강조,"전투 및 액션, 탐험 및 발견",텍스트 오버레이,자연/야외 미학,"수집욕/소유욕, 만족과 성취감","인간형 영웅, SD/치비 캐릭터, 거대 보스","2.5D 입체 그래픽, 2D 일러스트",캐릭터 케미와 조합 시각화로 SSR 수집 재미 자극. 속성 상성 강조 소재로 고관여 유저 공략 및 확장.
260406_BNR_A-Character-Adventure02A-DA_L_1200x628_EN.jpg;https://tpc.googlesyndication.com/simgad/7571534943945847205,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,0,KRW,0,1,0,0,BNR,가로형,2026-04-06,A,Character,Adventure02A,EN,260406_BNR_A-Character-Adventure02A-DA_L_1200x628_EN,A-Character-Adventure02A-DA,https://tpc.googlesyndication.com/simgad/7571534943945847205,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,"PEPP HEROES: RELIC QUEST, PRE-REGISTER NOW","아트 퀄리티, 릴리즈 예고, 캐릭터, 수집형RPG",용병 모집(Gacha),렐릭 퀘스트,마그 탐험대,샤일린(Shylin),렐릭 탐험 어드벤처,,수집 및 도감,텍스트 오버레이,자연/야외 미학,"수집욕/소유욕, 참여와 임장감",,"2.5D 입체 그래픽, 2D 일러스트",샤일린 비주얼을 활용해 2.5D 미학적 만족감을 강조하고 사전예약을 유도함. 고관여 유저 대상 높은 CTR이 기대되며 캐릭터 시너지 소재로 확장 계획임.
260406_BNR_A-Character-Adventure02A-DA_S_1200x1200_EN.jpg;https://tpc.googlesyndication.com/simgad/11186665980784424187,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,0,KRW,51,30,0,0,BNR,정방형,2026-04-06,A,Character,Adventure02A,EN,260406_BNR_A-Character-Adventure02A-DA_S_1200x1200_EN,A-Character-Adventure02A-DA,https://tpc.googlesyndication.com/simgad/11186665980784424187,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,"PEPP HEROES: RELIC QUEST, PRE-REGISTER NOW","아트 퀄리티, 릴리즈 예고, 캐릭터, 수집형RPG",용병 모집(Gacha),렐릭 퀘스트,마그 탐험대,샤일린(Shylin),렐릭 탐험 어드벤처,,수집 및 도감,텍스트 오버레이,자연/야외 미학,"수집욕/소유욕, 참여와 임장감",,"2.5D 입체 그래픽, 2D 일러스트",정사각형 포맷 내 캐릭터 밀집도를 높여 시선 집중 및 수집 욕구 자극. 인스타그램 등 매체 최적화 및 보상 정보 결합으로 고효율 기대.
260406_BNR_A-Character-Life01A-DA_L_1200x628_EN.jpg;https://tpc.googlesyndication.com/simgad/4842260928888903016,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,0,KRW,0,12,0,0,BNR,가로형,2026-04-06,A,Character,Life01A,EN,260406_BNR_A-Character-Life01A-DA_L_1200x628_EN,A-Character-Life01A-DA,https://tpc.googlesyndication.com/simgad/4842260928888903016,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,"PEPP HEROES, PLAY FOR FREE","아트 퀄리티, 전략성, 수집형RPG","8인 실시간 전투, 8종 직업 및 4종 클래스 체계","렐릭 퀘스트, 8인 실시간 전투",마그 탐험대,카르벨(Karbel),"렐릭 탐험 어드벤처, 히어로 수집 육성",,"수집 및 도감, 탐험 및 발견","텍스트 오버레이, 심플/클린 UI",자연/야외 미학,"휴식과 힐링, 수집욕/소유욕","SD/치비 캐릭터, 인간형 영웅","2.5D 입체 그래픽, 2D 일러스트",2.5D 월드의 공간감을 강조하여 어드벤처 유저를 타겟팅합니다. 리마케팅에 효과적이며 수집 문구 추가로 정보 전달력 보강을 추천합니다.
260406_BNR_A-Character-Life01A-DA_S_1200x1200_EN.jpg;https://tpc.googlesyndication.com/simgad/1365671312776743899,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,0,KRW,0,3,0,0,BNR,정방형,2026-04-06,A,Character,Life01A,EN,260406_BNR_A-Character-Life01A-DA_S_1200x1200_EN,A-Character-Life01A-DA,https://tpc.googlesyndication.com/simgad/1365671312776743899,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,"PEPP HEROES, PLAY FOR FREE","아트 퀄리티, 캐릭터, 수집형RPG","8인 실시간 전투, 8종 직업 및 4종 클래스 체계","렐릭 퀘스트, 8인 실시간 전투",마그 탐험대,카르벨(Karbel),"렐릭 탐험 어드벤처, 히어로 수집 육성",,"수집 및 도감, 탐험 및 발견","텍스트 오버레이, 심플/클린 UI",자연/야외 미학,"휴식과 힐링, 수집욕/소유욕","SD/치비 캐릭터, 인간형 영웅","2.5D 입체 그래픽, 2D 일러스트","고퀄리티 일러스트와 실제 화면을 합성해 신뢰감을 조성함. 캐주얼 유저의 힐링 욕구를 공략하여 높은 클릭률을 유도하고, 사전예약 보상 강조로 전환율 극대화가 필요함."
260406_BNR_A-Mob-Adventure01A-DA_L_1200x628_EN.jpg;https://tpc.googlesyndication.com/simgad/16600105301133976800,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,0,KRW,0,5,0,0,BNR,가로형,2026-04-06,A,Mob,Adventure01A,EN,260406_BNR_A-Mob-Adventure01A-DA_L_1200x628_EN,A-Mob-Adventure01A-DA,https://tpc.googlesyndication.com/simgad/16600105301133976800,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,"Peppy & Ready to Fight, PLAY FOR FREE","아트 퀄리티, 캐릭터, 수집형RPG",8인 실시간 전투,8종 직업 및 4종 클래스 체계,고블린,,렐릭 탐험 어드벤처,몬스터 군단 중심의 구도,"전투 및 액션, 탐험 및 발견",텍스트 오버레이,자연/야외 미학,"참여와 임장감, 수집욕/소유욕","SD/치비 캐릭터, 군단/대규모 유닛","2.5D 입체 그래픽, 2D 일러스트",몬스터 군단과 2.5D 아트 중심의 모험 소구. 독특한 크리처 디자인으로 고관여 유저의 CTR 유도 및 전략적 시너지 강조.
260406_BNR_A-Mob-Adventure01A-DA_S_1200x1200_EN.jpg;https://tpc.googlesyndication.com/simgad/9569657006008026943,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,0,KRW,0,41,0,0,BNR,정방형,2026-04-06,A,Mob,Adventure01A,EN,260406_BNR_A-Mob-Adventure01A-DA_S_1200x1200_EN,A-Mob-Adventure01A-DA,https://tpc.googlesyndication.com/simgad/9569657006008026943,"캐릭터/유닛 외형, 비주얼 임팩트",,,,,"Peppy & Ready to Fight, PLAY FOR FREE","아트 퀄리티, 캐릭터, 수집형RPG",8인 실시간 전투,8종 직업 및 4종 클래스 체계,고블린,,렐릭 탐험 어드벤처,몬스터 군단 중심의 구도,"전투 및 액션, 탐험 및 발견",텍스트 오버레이,자연/야외 미학,"참여와 임장감, 수집욕/소유욕","SD/치비 캐릭터, 군단/대규모 유닛","2.5D 입체 그래픽, 2D 일러스트","1:1 비율로 SD 캐릭터의 디테일과 2.5D 비주얼을 강조함. 높은 아트 퀄리티로 유저 시선을 유도하며, 시간 및 날씨 변화를 활용한 소재 확장을 제안함."
260406_VID_A-Character-Collection01B-UA_S_1080x1080_EN;https://www.youtube.com/watch?v=cTfY4JpFc-s,YouTube 동영상,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,1,KRW,2162,41,0,0,VID,정방형,2026-04-06,A,Character,Collection01B,EN;https://www,260406_VID_A-Character-Collection01B-UA_S_1080x1080_EN,A-Character-Collection01B-UA,https://www.youtube.com/watch?v=cTfY4JpFc-s,"질문/선택형, 캐릭터/유닛 외형",경쾌함,TRUE,,없음,"CHOOSE YOUR HERO, HUGO, KARBEL, MONAD","캐릭터, 수집형RPG, 전략성",용병 모집(Gacha),DIY 픽업 시스템,마그 탐험대,"휴고, 카르벨, 모나드",히어로 수집 육성,남성 캐릭터 위주 배치,수집 및 도감,"텍스트 오버레이, 분할 화면",심플/클린 UI,수집욕/소유욕,"SD/치비 캐릭터, 인간형 영웅",2D 일러스트,캐릭터 구성 대조를 통한 타겟 취향별 효율 분석. 탱커 및 딜러 중심 덱 선호 심리 공략하며 캐릭터 조합 변주 소재로 리타겟팅 광고 활용 권장.
260406_VID_A-Character-Combat01A-UA_L_1920x1080_EN;https://www.youtube.com/watch?v=2W7-0AV2mfg,YouTube 동영상,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,4,KRW,13530,218,2,0,VID,가로형,2026-04-06,A,Character,Combat01A,EN;https://www,260406_VID_A-Character-Combat01A-UA_L_1920x1080_EN,A-Character-Combat01A-UA,https://www.youtube.com/watch?v=2W7-0AV2mfg,"비주얼 임팩트, 캐릭터/유닛 외형",긴박함,TRUE,,없음,"VINESSA, A DARK WIZARD WHO DOMINATES THE FIELD, SOPHIA, REMOVES ALL DEBUFFS! THE KEY TO SURVIVAL, BERNETA, A SYNERGY DEALER THAT PERFECTS YOUR TEAM, PLAY FOR FREE","아트 퀄리티, 캐릭터, 수집형RPG, 전략성",용병 모집,스킬 컷신 연출,마그 탐험대,"Vinessa, Sophia, Berneta",렐릭 탐험 어드벤처,캐릭터별 스킬 특징 강조,전투 및 액션,"텍스트 오버레이, 클로즈업 및 줌",자연/야외 미학,"도전과 승부욕, 수집욕/소유욕","인간형 영웅, SD/치비 캐릭터, 성장 지표","2.5D 입체 그래픽, 2D 일러스트",인게임 전투와 일러스트 교차 편집으로 몰입도 극대화. 캐릭터 스킬 및 시너지로 전략적 호기심 자극. 플레이 영상 기반 안정적 CVR 확보 및 캐릭터 속성 대비 변주 제안.
260406_VID_A-Character-Combat01A-UA_S_1080x1080_EN;https://www.youtube.com/watch?v=jnNAzjzUw8o,YouTube 동영상,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,0,KRW,8269,106,2,0,VID,정방형,2026-04-06,A,Character,Combat01A,EN;https://www,260406_VID_A-Character-Combat01A-UA_S_1080x1080_EN,A-Character-Combat01A-UA,https://www.youtube.com/watch?v=jnNAzjzUw8o,"비주얼 임팩트, 캐릭터/유닛 외형",긴박함,TRUE,,없음,"VINESSA, A DARK WIZARD WHO DOMINATES THE FIELD, SOPHIA, REMOVES ALL DEBUFFS! THE KEY TO SURVIVAL, BERNETA, A SYNERGY DEALER THAT PERFECTS YOUR TEAM, PLAY FOR FREE","아트 퀄리티, 캐릭터, 수집형RPG, 전략성",용병 모집,스킬 컷신 연출,마그 탐험대,"Vinessa, Sophia, Berneta",렐릭 탐험 어드벤처,캐릭터별 스킬 특징 강조,전투 및 액션,"텍스트 오버레이, 클로즈업 및 줌",자연/야외 미학,"도전과 승부욕, 수집욕/소유욕","인간형 영웅, SD/치비 캐릭터, 성장 지표","2.5D 입체 그래픽, 2D 일러스트",SSR 비네사 비주얼을 초반에 배치해 RPG 팬덤 시선 확보. 고퀄리티 애니메이션으로 캐릭터 소유욕을 자극하며 스킬 콤보 시리즈로 소재 확장 가능.
260406_VID_A-Character-Combat01A-UA_V_1080x1920_EN;https://www.youtube.com/watch?v=tHmXhOKu33A,YouTube 동영상,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,1,KRW,2302,32,0,0,VID,세로형,2026-04-06,A,Character,Combat01A,EN;https://www,260406_VID_A-Character-Combat01A-UA_V_1080x1920_EN,A-Character-Combat01A-UA,https://www.youtube.com/watch?v=tHmXhOKu33A,"비주얼 임팩트, 캐릭터/유닛 외형",긴박함,TRUE,,없음,"VINESSA, A DARK WIZARD WHO DOMINATES THE FIELD, SOPHIA, REMOVES ALL DEBUFFS! THE KEY TO SURVIVAL, BERNETA, A SYNERGY DEALER THAT PERFECTS YOUR TEAM, PLAY FOR FREE","아트 퀄리티, 캐릭터, 수집형RPG, 전략성",용병 모집,스킬 컷신 연출,마그 탐험대,"Vinessa, Sophia, Berneta",렐릭 탐험 어드벤처,캐릭터별 스킬 특징 강조,전투 및 액션,"텍스트 오버레이, 클로즈업 및 줌",자연/야외 미학,"도전과 승부욕, 수집욕/소유욕","인간형 영웅, SD/치비 캐릭터, 성장 지표","2.5D 입체 그래픽, 2D 일러스트",숏폼 최적화 세로 분할 화면으로 캐릭터와 전투 연출 강조. 한 손 플레이 선호 심리를 공략하여 틱톡 및 릴스 내 높은 조회수 확보 기대.
260406_VID_A-Character-Combat01B-UA_L_1920x1080_EN;https://www.youtube.com/watch?v=d4rVTfnnYhg,YouTube 동영상,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,0,KRW,8564,138,2,0,VID,가로형,2026-04-06,A,Character,Combat01B,EN;https://www,260406_VID_A-Character-Combat01B-UA_L_1920x1080_EN,A-Character-Combat01B-UA,https://www.youtube.com/watch?v=d4rVTfnnYhg,"비주얼 임팩트, 캐릭터/유닛 외형",긴박함,TRUE,,없음,"HUGO, An indomitable warrior..., MONAD, A sage who devastates..., KARBEL, A fiery dealer..., PLAY FOR FREE","전략성, 아트 퀄리티",용병 모집,8인 실시간 전투,마그 탐험대,"Hugo, Monad, Karbel",히어로 수집 육성,,전투 및 액션,"텍스트 오버레이, 클로즈업 및 줌",자연/야외 미학,"도전과 승부욕, 수집욕/소유욕","인간형 영웅, SD/치비 캐릭터, 성장 지표","2.5D 입체 그래픽, 2D 일러스트",16:9 뷰로 넓은 전장과 스킬 강조. 화려한 연출로 타격감 선호 유저 공략. 전투 선호층 대상 높은 전환율 기대.
260406_VID_A-Character-Combat01B-UA_S_1080x1080_EN;https://www.youtube.com/watch?v=tcTIYuJi7pM,YouTube 동영상,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,0,KRW,1414,18,0,0,VID,정방형,2026-04-06,A,Character,Combat01B,EN;https://www,260406_VID_A-Character-Combat01B-UA_S_1080x1080_EN,A-Character-Combat01B-UA,https://www.youtube.com/watch?v=tcTIYuJi7pM,"비주얼 임팩트, 캐릭터/유닛 외형",긴박함,TRUE,,없음,"HUGO, An indomitable warrior..., MONAD, A sage who devastates..., KARBEL, A fiery dealer..., PLAY FOR FREE","전략성, 아트 퀄리티",용병 모집,8인 실시간 전투,마그 탐험대,"Hugo, Monad, Karbel",히어로 수집 육성,,전투 및 액션,"텍스트 오버레이, 클로즈업 및 줌",자연/야외 미학,"도전과 승부욕, 수집욕/소유욕","인간형 영웅, SD/치비 캐릭터, 성장 지표","2.5D 입체 그래픽, 2D 일러스트",소피아의 생존 및 지원 능력과 팀 시너지를 강조해 전략적 유저 공략. 비네사 소재 A/B 테스트로 타겟별 선호 캐릭터 최적화 및 성과 확장 도모.
260406_VID_A-Character-Combat01B-UA_V_1080x1920_EN;https://www.youtube.com/watch?v=rrd-TGZqEqc,YouTube 동영상,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,1,KRW,1980,29,2,0,VID,세로형,2026-04-06,A,Character,Combat01B,EN;https://www,260406_VID_A-Character-Combat01B-UA_V_1080x1920_EN,A-Character-Combat01B-UA,https://www.youtube.com/watch?v=rrd-TGZqEqc,"비주얼 임팩트, 캐릭터/유닛 외형",긴박함,TRUE,,없음,"HUGO, An indomitable warrior..., MONAD, A sage who devastates..., KARBEL, A fiery dealer..., PLAY FOR FREE","전략성, 아트 퀄리티",용병 모집,8인 실시간 전투,마그 탐험대,"Hugo, Monad, Karbel",히어로 수집 육성,,전투 및 액션,"텍스트 오버레이, 클로즈업 및 줌",자연/야외 미학,"도전과 승부욕, 수집욕/소유욕","인간형 영웅, SD/치비 캐릭터, 성장 지표","2.5D 입체 그래픽, 2D 일러스트",직관적인 탱딜힐 구성으로 정통 RPG 유저의 파티 니즈 충족. 역할군 조합의 재미를 텍스트로 보강하여 효율 극대화 기대.
260406_VID_A-Charater-Collection01B-UA_L_1920x1080_EN;https://www.youtube.com/watch?v=rRGCh1x6a6M,YouTube 동영상,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,1,KRW,5917,100,1,0,VID,가로형,2026-04-06,A,Charater,Collection01B,EN;https://www,260406_VID_A-Charater-Collection01B-UA_L_1920x1080_EN,A-Charater-Collection01B-UA,https://www.youtube.com/watch?v=rRGCh1x6a6M,"질문/선택형, 캐릭터/유닛 외형",경쾌함,TRUE,,없음,"CHOOSE YOUR HERO, HUGO, PLAY FOR FREE","아트 퀄리티, 전략성",용병 모집,DIY 픽업 시스템,마그 탐험대,Hugo,히어로 수집 육성,,수집 및 도감,"텍스트 오버레이, 클로즈업 및 줌",심플/클린 UI,"수집욕/소유욕, 만족과 성취감","인간형 영웅, SD/치비 캐릭터","2.5D 입체 그래픽, 2D 일러스트","그리드 UI로 풍부한 캐릭터 풀을 어필해 수집 욕구를 자극하며, 캐릭터 강조 엔드카드를 통해 높은 잔존율을 확보합니다."
260406_VID_A-Charater-Collection01B-UA_V_1080x1920_EN;https://www.youtube.com/watch?v=u5diHTUsSOs,YouTube 동영상,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,0,KRW,151,6,0,0,VID,세로형,2026-04-06,A,Charater,Collection01B,EN;https://www,260406_VID_A-Charater-Collection01B-UA_V_1080x1920_EN,A-Charater-Collection01B-UA,https://www.youtube.com/watch?v=u5diHTUsSOs,"질문/선택형, 캐릭터/유닛 외형",경쾌함,TRUE,,없음,"CHOOSE YOUR HERO, HUGO, PLAY FOR FREE","아트 퀄리티, 전략성",용병 모집,DIY 픽업 시스템,마그 탐험대,Hugo,히어로 수집 육성,캐릭터 픽(Pick) 연출,수집 및 도감,"텍스트 오버레이, 클로즈업 및 줌",심플/클린 UI,"수집욕/소유욕, 만족과 성취감","인간형 영웅, SD/치비 캐릭터","2.5D 입체 그래픽, 2D 일러스트",직접 영웅을 선택하는 인터랙티브 경험으로 기대감 부여. 다양한 영웅 노출을 통해 유저 취향을 공략하고 반복적인 참여 유도.
260406_VID_A-Hooking-Reward02A-FK_L_1920x1080_EN;https://www.youtube.com/watch?v=oRlzfGbT3xY,YouTube 동영상,HQ_HQ_PH_US-EN_GA_NU_AD_ACA-PU_260429,M_1844_INTEREST_GENRE_ALL_NONE_260429,2026-04-29,7,KRW,35669,339,1,0,VID,가로형,2026-04-06,A,Hooking,Reward02A,EN;https://www,260406_VID_A-Hooking-Reward02A-FK_L_1920x1080_EN,A-Hooking-Reward02A-FK,https://www.youtube.com/watch?v=oRlzfGbT3xY,"실패/분노 유도, 압도적 보상",긴박함,TRUE,,없음,"Tap here to save him!, Help me!, HELP KARBEL CLEAR, Claim your SR character and rewards worth $100!, PLAY FOR FREE",보상,용병 모집,우호도 시스템,마그 탐험대,카르벨(Karbel),히어로 수집 육성,페이크 플레이(구출 미니게임) 형식 활용,퍼즐 및 논리,"손가락 지시선, 텍스트 오버레이",자연/야외 미학,"도전과 승부욕, 만족과 성취감","SD/치비 캐릭터, 재화/보물상자",2D 일러스트,구출 미니게임 방식을 활용해 시청자 이탈을 방지하고 즉각적인 행동을 유도합니다. 대량의 재화 보상으로 성취감을 자극하여 저단가 트래픽 확보 및 높은 클릭률을 공략합니다.
